group_name,team_abbreviation,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank
D. Gallinari - G. Dieng - B. Bogdanovic,ATL,5,3,2,0.6,1.9,2.0,3.6,0.556,0.4,1.2,0.333,1.8,1.8,1.0,0.8,2.0,2.8,1.2,0.2,0.6,0.0,0.2,0.6,1.2,6.2,4.0,194,162,358,192,529,422,504,113,514,501,368,316,360,1,325,409,433,449,142,316,361,284,145,386,433,76
D. Wright - K. Knox II - T. Young,ATL,3,3,0,1.0,1.9,0.7,2.3,0.286,0.0,1.3,0.0,2.3,2.3,1.0,0.3,2.3,2.7,0.3,1.7,0.3,0.0,0.0,0.7,1.0,3.7,-0.7,249,162,1,1,532,580,563,544,530,496,530,223,278,1,419,394,439,553,452,403,361,1,152,399,530,374
G. Dieng - C. Barber - J. Johnson,ATL,1,0,1,0.0,1.9,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,5.0,408,490,144,490,522,323,521,1,289,503,1,497,502,497,451,409,471,304,488,119,361,1,1,541,388,53
G. Dieng - C. Barber - M. Hill,ATL,1,0,1,0.0,1.9,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,5.0,408,490,144,490,522,323,521,1,289,503,1,497,502,497,451,409,471,304,488,119,361,1,1,541,388,53
G. Dieng - J. Johnson - M. Hill,ATL,1,0,1,0.0,1.9,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,5.0,408,490,144,490,522,323,521,1,289,503,1,497,502,497,451,409,471,304,488,119,361,1,1,541,388,53
G. Dieng - S. Mays - S. Cooper,ATL,2,1,1,0.5,1.9,0.5,4.0,0.125,0.5,3.5,0.143,0.0,0.0,0.0,0.5,0.5,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,1.5,-4.0,311,257,144,240,531,586,474,595,478,272,521,497,502,497,379,601,549,537,163,450,361,1,1,505,600,584
L. Stephenson - C. Capela - C. Reddish,ATL,1,0,1,0.0,1.9,2.0,3.0,0.667,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,6.0,4.0,408,490,144,490,533,422,521,38,127,417,1,497,502,497,451,518,549,563,257,450,82,1,178,541,436,76
L. Stephenson - C. Capela - J. Collins,ATL,1,0,1,0.0,1.9,2.0,3.0,0.667,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,6.0,4.0,408,490,144,490,533,422,521,38,127,417,1,497,502,497,451,518,549,563,257,450,82,1,178,541,436,76
L. Williams - L. Stephenson - T. Young,ATL,1,1,0,1.0,1.9,2.0,4.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,3.0,408,257,1,1,530,422,474,169,289,503,1,497,502,497,451,409,471,304,1,119,361,1,1,541,484,93
S. Mays - J. Johnson - M. Hill,ATL,1,0,1,0.0,1.9,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,5.0,408,490,144,490,522,323,521,1,289,503,1,497,502,497,451,409,471,304,488,119,361,1,1,541,388,53
B. Bogdanovic - K. Knox II - T. Young,ATL,1,1,0,1.0,1.8,1.0,3.0,0.333,0.0,1.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,-1.0,408,257,1,1,542,522,521,502,530,503,530,244,304,1,451,296,370,457,1,450,361,1,1,399,519,386
B. Bogdanovic - T. Luwawu-Cabarrot - K. Huerter,ATL,1,0,1,0.0,1.8,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,-5.0,408,490,144,490,536,522,474,561,530,610,530,497,502,497,451,409,471,457,257,450,361,1,1,541,562,599
D. Gallinari - C. Reddish - D. Hunter,ATL,2,0,2,0.0,1.8,2.0,3.5,0.571,1.0,1.5,0.667,0.0,0.0,0.0,0.0,1.5,1.5,1.5,0.5,0.0,0.0,0.0,0.5,0.5,5.0,1.0,311,490,358,490,540,422,505,96,289,482,60,497,502,497,451,500,534,403,163,450,361,1,118,505,484,199
