group_name,team_abbreviation,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank
L. Williams - K. Huerter - T. Young - D. Hunter - O. Okongwu,ATL,1,0,1,0.0,1.5,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,123,204,119,204,221,277,175,277,190,172,190,194,198,194,148,178,202,235,1,137,109,1,1,231,295,318
S. Hill - J. Collins - K. Huerter - T. Young - C. Reddish,ATL,1,0,1,0.0,1.5,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,-1.0,123,204,119,204,227,195,175,212,190,172,190,194,198,194,148,178,202,235,1,137,109,293,262,231,238,192
D. Gallinari - B. Bogdanovic - D. Wright - J. Collins - D. Hunter,ATL,1,0,1,0.0,1.4,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,123,204,119,204,243,195,279,1,190,266,190,56,69,1,148,178,202,130,1,137,109,1,1,55,181,139
D. Gallinari - B. Bogdanovic - K. Huerter - T. Young - D. Hunter,ATL,2,2,0,1.0,1.4,1.5,1.5,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,2.0,0.0,0.0,0.0,0.5,0.0,3.5,-0.5,76,35,1,1,237,176,272,1,164,254,1,194,198,194,148,261,279,130,300,137,109,1,130,231,204,183
D. Gallinari - C. Capela - B. Bogdanovic - T. Young - C. Reddish,ATL,4,3,1,0.75,1.4,0.3,1.8,0.143,0.0,0.8,0.0,1.8,2.0,0.875,0.0,0.5,0.5,0.3,0.3,0.3,0.0,0.0,0.3,1.0,2.3,-1.5,39,25,119,125,242,276,268,272,190,248,190,102,69,113,148,261,279,232,149,125,109,1,118,115,237,230
D. Gallinari - C. Capela - D. Wright - T. Young - C. Reddish,ATL,1,0,1,0.0,1.4,2.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,6.0,123,204,119,204,238,118,231,1,61,172,1,32,47,1,148,102,138,130,1,137,109,1,1,115,89,19
D. Gallinari - C. Capela - K. Huerter - T. Young - C. Reddish,ATL,6,1,5,0.167,1.4,1.2,3.0,0.389,0.5,0.8,0.6,0.2,0.2,1.0,0.7,1.3,2.0,0.5,0.5,0.2,0.0,0.7,0.5,0.5,3.0,-0.2,23,61,334,202,245,194,175,192,164,246,45,193,197,1,106,172,138,212,164,131,109,288,130,208,211,179
D. Gallinari - D. Wright - K. Huerter - C. Reddish - D. Hunter,ATL,2,0,2,0.0,1.4,1.5,2.5,0.6,1.0,1.5,0.667,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.5,4.0,0.0,76,204,275,204,235,176,221,64,61,160,36,194,198,194,148,178,202,130,164,137,109,1,1,208,181,139
D. Gallinari - G. Dieng - D. Wright - T. Luwawu-Cabarrot - T. Young,ATL,1,1,0,1.0,1.4,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,123,61,1,1,246,195,231,106,61,103,54,194,198,194,148,102,138,130,1,137,21,1,157,231,211,139
D. Wright - T. Luwawu-Cabarrot - K. Knox II - O. Okongwu - S. Mays,ATL,1,1,0,1.0,1.4,1.0,4.0,0.25,1.0,3.0,0.333,0.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,123,61,1,1,238,195,139,250,61,66,131,194,198,194,56,63,65,130,1,137,109,1,157,231,211,45
G. Dieng - D. Wright - K. Huerter - C. Reddish - D. Hunter,ATL,1,1,0,1.0,1.4,2.0,3.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,123,61,1,1,241,118,175,42,61,172,1,194,198,194,148,178,202,130,1,137,109,1,1,231,152,45
G. Dieng - S. Hill - K. Huerter - T. Young - C. Reddish,ATL,2,1,1,0.5,1.4,2.0,2.5,0.8,0.5,0.5,1.0,1.0,1.0,1.0,0.0,1.5,1.5,1.0,1.0,1.0,0.0,0.0,1.0,0.5,5.5,4.0,76,61,119,142,236,118,221,29,164,254,1,131,142,1,148,161,193,130,204,36,109,1,157,208,146,32
L. Williams - D. Gallinari - D. Wright - J. Collins - T. Young,ATL,2,0,2,0.0,1.4,0.5,2.0,0.25,0.0,1.0,0.0,1.5,1.5,1.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,2.5,-3.5,76,204,275,204,240,262,231,250,190,172,190,104,125,1,148,178,202,212,164,137,109,1,157,115,233,299
L. Williams - D. Wright - K. Knox II - O. Okongwu - J. Johnson,ATL,1,1,0,1.0,1.4,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-2.0,123,61,1,1,243,277,112,277,190,103,190,194,198,194,20,178,84,235,1,137,21,293,1,231,295,240
C. Capela - B. Bogdanovic - D. Wright - J. Collins - D. Hunter,ATL,2,1,1,0.5,1.3,0.5,1.5,0.333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,1.5,0.0,1.0,-3.5,76,61,119,142,251,262,272,212,190,254,190,194,198,194,148,261,279,235,164,137,109,1,248,231,283,299
